George Baillie-Hamilton, 10th Earl of Haddington, 1, ['Robert Adamson (philosopher)']
W. R. Sorley, 1, ['Robert Adamson (philosopher)']
Goswin Karl Uphues, 1, ['Richard Shute']
Charles Renard, 1, ['Matthew Piers Watt Boulton']
Francis Galton, 1, ['Matthew Piers Watt Boulton']
Alphonse Pénaud, 1, ['Matthew Piers Watt Boulton']
William Ralph Cartwright, 1, ['Matthew Piers Watt Boulton']
George Westinghouse, 1, ['Matthew Piers Watt Boulton']
Clement Ader, 1, ['Matthew Piers Watt Boulton']
Robert Esnault-Pelterie, 1, ['Matthew Piers Watt Boulton']
Matthew Robinson Boulton, 1, ['Matthew Piers Watt Boulton']
Samuel Pierpont Langley, 1, ['Matthew Piers Watt Boulton']
Jean-Marie Le Bris, 1, ['Matthew Piers Watt Boulton']
John Imray (patent attorney), 1, ['Matthew Piers Watt Boulton']
Alberto Santos-Dumont, 1, ['Matthew Piers Watt Boulton']
Frederic Boase, 1, ['Matthew Piers Watt Boulton']
Frederick S. Waller, 1, ['Matthew Piers Watt Boulton']
James Patrick Muirhead, 1, ['Matthew Piers Watt Boulton']
William Gladstone, 1, ['Matthew Piers Watt Boulton']
Edson Fessenden Gallaudet, 1, ['Matthew Piers Watt Boulton']
Charles M. Manly, 1, ['Matthew Piers Watt Boulton']
John Joseph Montgomery, 1, ['Matthew Piers Watt Boulton']
Louis Pierre Mouillard, 1, ['Matthew Piers Watt Boulton']
Francis Grant (artist), 1, ['Matthew Piers Watt Boulton']
Glenn Curtiss, 1, ['Matthew Piers Watt Boulton']
G. I. Taylor, 1, ['Mary Everest Boole']
Victoria Welby-Gregory, Lady Welby, 1, ['Mary Everest Boole']
Wilfrid Michael Voynich, 1, ['Mary Everest Boole']
Sir William Lawrence, 1st Baronet, 1, ['Lady Mary Shepherd']
John Fearn (philosopher), 1, ['Lady Mary Shepherd']
Robert Blakey (writer), 1, ['Lady Mary Shepherd']
Henry Fuseli, 1, ['Joseph Priestley']
Willem 's Gravesande, 1, ['Joseph Priestley']
Alessandro Volta, 1, ['Joseph Priestley']
John Hurford Stone, 1, ['Joseph Priestley']
James Watt, 1, ['Joseph Priestley']
Theophilus Lindsey, 1, ['Joseph Priestley']
Ellen Sharples, 1, ['Joseph Priestley']
Antoine Lavoisier, 1, ['Joseph Priestley']
Edmund Burke, 1, ['Joseph Priestley']
Marie-Anne Pierrette Paulze, 1, ['Joseph Priestley']
Anna Laetitia Barbauld, 1, ['Joseph Priestley']
Richard Price, 1, ['Joseph Priestley']
John Seddon of Warrington, 1, ['Joseph Priestley']
John Wilkinson (industrialist), 1, ['Joseph Priestley']
William Priestley (Louisiana planter), 1, ['Joseph Priestley']
Erasmus Darwin, 1, ['Joseph Priestley']
William Herschel, 1, ['Joseph Priestley']
Isaac Watts, 1, ['Joseph Priestley']
Johann Jacob Schweppe, 1, ['Joseph Priestley']
James Cook, 1, ['Joseph Priestley']
Richard Brinsley Sheridan, 1, ['Joseph Priestley']
Charles François Dumouriez, 1, ['Joseph Priestley']
Josiah Wedgwood, 1, ['Joseph Priestley']
John Aikin, 1, ['Joseph Priestley']
William Cobbett, 1, ['Joseph Priestley']
Benjamin Franklin, 1, ['Joseph Priestley']
Carl Frederik von Breda, 1, ['Joseph Priestley']
Timothy Lane, 1, ['Joseph Priestley']
Benjamin Vaughan, 1, ['Joseph Priestley']
George Cuvier, 1, ['Joseph Priestley']
James Gillray, 1, ['Joseph Priestley']
William Blackstone, 1, ['Joseph Priestley']
Rembrandt Peale, 1, ['Joseph Priestley']
Joseph Johnson (publisher), 1, ['Joseph Priestley']
Carl Wilhelm Scheele, 1, ['Joseph Priestley']
Baron d'Holbach, 1, ['Joseph Priestley']
Jacques-Louis David, 1, ['Joseph Priestley']
Matthew Boulton, 1, ['Joseph Priestley']
James Keir, 1, ['Joseph Priestley']
Thomas Cooper (American politician, born 1759), 1, ['Joseph Priestley']
John Vaughan (wine merchant), 1, ['Joseph Priestley']
Henry Cavendish, 1, ['Joseph Priestley']
Thomas Fitzmaurice (MP), 1, ['Joseph Priestley']
John Dalton, 1, ['Joseph Priestley']
Charles Cotesworth Pinckney, 1, ['Joseph Priestley']
Charles-Augustin de Coulomb, 1, ['Joseph Priestley']
William Watson (scientist), 1, ['Joseph Priestley']
Michael Faraday, 1, ['Joseph Priestley']
Henry Liddell, 1, ['John Ruskin']
Lord Byron, 1, ['John Ruskin']
Charles Eliot Norton, 1, ['John Ruskin']
Albert Joseph Moore, 1, ['John Ruskin']
William Powell Frith, 1, ['John Ruskin']
Mary Augusta Wakefield, 1, ['John Ruskin']
Herbert Read, 1, ['John Ruskin']
Alfred Milner, 1, ['John Ruskin']
Richard Doyle (illustrator), 1, ['John Ruskin']
Keats, 1, ['John Ruskin']
Arnold Toynbee (historian, born 1852), 1, ['John Ruskin']
Edward Carpenter, 1, ['John Ruskin']
Alice Liddell, 1, ['John Ruskin']
Le Corbusier, 1, ['John Ruskin']
James Northcote (painter), 1, ['John Ruskin']
G. K. Chesterton, 1, ['John Ruskin']
W. B. Yeats, 1, ['John Ruskin']
J. A. Hobson, 1, ['John Ruskin']
William Holman Hunt, 1, ['John Ruskin']
Effie Gray, 1, ['John Ruskin']
Edward Tyas Cook, 1, ['John Ruskin']
Marcel Proust, 1, ['John Ruskin']
James Duffield Harding, 1, ['John Ruskin']
Samuel Rogers, 1, ['John Ruskin']
Adriano Cecioni, 1, ['John Ruskin']
Frederic Leighton, 1, ['John Ruskin']
William Smart (economist), 1, ['John Ruskin']
C. R. Ashbee, 1, ['John Ruskin']
Ebenezer Howard, 1, ['John Ruskin']
William Hurrell Mallock, 1, ['John Ruskin']
Raymond Unwin, 1, ['John Ruskin']
Joseph Mallord William Turner, 1, ['John Ruskin']
Charles Thomas Newton, 1, ['John Ruskin']
Coventry Patmore, 1, ['John Ruskin']
Dante Gabriel Rossetti, 1, ['John Ruskin']
Eugène Viollet-le-Duc, 1, ['John Ruskin']
John Holker, 1, ['John Ruskin']
Pierre de Coubertin, 1, ['John Ruskin']
George Allen (publisher), 1, ['John Ruskin']
Thomas Malthus, 1, ['John Ruskin']
Benjamin Woodward, 1, ['John Ruskin']
Roger Fry, 1, ['John Ruskin']
Mahatma Gandhi, 1, ['John Ruskin']
Joseph Severn, 1, ['John Ruskin']
John William Inchbold, 1, ['John Ruskin']
Charles A. Beard, 1, ['John Ruskin']
John William Hill, 1, ['John Ruskin']
John Brett (artist), 1, ['John Ruskin']
